name,cuisine,category,location,city,price,lat,lng,rating
Spicy Moon,Chinese|Vegan,Lunch/Dinner,East Village|Greenwich Village,New York City,1,40.7266901,-73.9872499,
outro,Australian,Brunch,East Village,New York City,2,40.7327739,-73.9909553,
Madam Ji,Indian,Lunch/Dinner|Brunch,Greenwich Village,New York City,2,40.7282047,-73.9995574,
Citizens Of,Australian,Brunch,Greenwich Village|Soho|Chelsea|Gramercy,New York City,2,40.7285617,-73.9997028,
Boqueria,Spanish,Brunch|To Share,Soho|Midtown|Upper East Side,New York City,3,40.7248694,-74.002175,
Tortaria,Mexican,Lunch/Dinner,Greenwich Village,New York City,2,40.73387,-73.99304,
Raku,Japanese|Udon,Lunch/Dinner,South Village|East Village,New York City,2,40.7265503,-73.9867249,
Rasa,Southeast Asian,Lunch/Dinner,Greenwich Village,New York City,2,40.7329711,-73.9976527,
Jajaja,Mexican|Vegan,Lunch/Dinner,South Village|LES,New York City,2,40.7142123,-73.9904025,
Little Owl,American,Brunch,Greenwich Village,New York City,2,40.732398,-74.005318,
Flipsigi,Filipino,Quick Bites,Greenwich Village,New York City,1,40.7344965,-74.0020674,
Golden Unicorn,Dim Sum|Chinese,Brunch|To Share,Chinatown,New York City,2,40.7136857,-73.9971866,
Nom Wah Tea Parlor,Dim Sum|Chinese,Brunch|To Share,Chinatown,New York City,2,40.7144447,-73.998254,
Saigon Shack,Vietnamese,Lunch/Dinner,South Village,New York City,1,40.7296889,-74.000625,
Huertas,Spanish,Lunch/Dinner,East Village,New York City,3,40.7268446,-73.9862162,
Suki,Japanese,Lunch/Dinner,East Village,New York City,2,40.7288216,-73.9889971,
Sabai,Thai,Lunch/Dinner|Date Night,Nomad,New York City,2,40.744299,-73.983664,
Blank Slate Coffee,Coffee,Cafe|Brunch,Nomad,New York City,2,40.7453125,-73.9846013,
Two Hands,Australian,Brunch,Noho|Tribeca|Nolita,New York City,2,40.7196965,-73.9960246,
The Grey Dog,American,Brunch,Greenwich Village|Nolita,New York City,2,40.7229542,-73.9956958,
TacoVision,Mexican,Lunch/Dinner,Midtown East,New York City,2,40.7569163,-73.9678386,
Risotteria Melotti,Italian,Lunch/Dinner,East Village,New York City,2,40.726649,-73.988342,
Goodnight Sonny,Bar,Bar|Drinks,East Village,New York City,2,40.7276202,-73.985094,
Ludlow Coffee Supply,Coffee,Cafe,LES,New York City,1,40.7216825,-73.9873972,
Kona Coffee Co,Coffee,Cafe,East Village,New York City,1,40.7258692,-73.9898686,
MUD,Coffee,Cafe,East Village,New York City,1,40.7291106,-73.9866336,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.7202877,-73.9983933,
Urban Backyard,Coffee,Cafe,Nolita,New York City,1,40.7208064,-73.9966015,
Xi'an Famous Foods,Chinese,Quick Bites,Chelsea|Chinatown|Upper East Side,New York City,1,40.7150822,-73.997342,
Harbs,Japanese,Desserts,Soho,New York City,2,40.7264131,-74.0000264,
Levain Bakery,Bakery,Desserts,Noho|Upper East Side,New York City,1,40.7262243,-73.9946887,
Bar Belly,Bar,Bar|Drinks,LES,New York City,2,40.7151381,-73.9916374,
Souvlaki GR,Mediterranean,Lunch/Dinner,LES|Midtown,New York City,2,40.7211257,-73.9871559,
Wah Fung No 1 Fast Food,Chinese,Quick Bites,Chinatown,New York City,1,40.7173189,-73.9944649,
Itaewon Pocha,Korean,Bar|Drinks,Koreatown,New York City,2,40.7477111,-73.9870834,
BCD Tofu House,Korean,Lunch/Dinner,Koreatown,New York City,2,40.7475106,-73.9860627,
Grace Street Cafe,Korean,Desserts|Cafe,Koreatown,New York City,2,40.7477172,-73.9865302,
Gammeeok,Korean,Lunch/Dinner,Koreatown,New York City,2,40.7477152,-73.9860561,
The Alley,Tea,Tea,East Village,New York City,1,40.7295935,-73.990984,
Debutea,Tea,Tea,Greenwich Village,New York City,1,40.729175,-73.9993244,
YiFang Fruit Tea,Tea,Tea,Chinatown|East Village|Kips Bay|Midtown,New York City,1,40.729047,-73.98809,
Refinery Rooftop,Bar,Drinks|Rooftop|Bar,Midtown,New York City,3,40.7522605,-73.985361,
Rosemary's,Italian,Lunch/Dinner|Date Night,Greenwich Village,New York City,2,40.7348368,-73.9998009,
Lola Taverna,Mediterranean,Lunch/Dinner|Date Night,South Village,New York City,2,40.7270494,-74.0031992,
Jaiya,Thai,Lunch/Dinner,Kips Bay,New York City,2,40.742225,-73.980989,
Barn Joo,Korean,Lunch/Dinner,Chelsea,New York City,2,40.736868,-73.990738,
Buenos Aires,South American,Lunch/Dinner,East Village,New York City,3,40.7253096,-73.98341,
Great NY Noodletown,Chinese,Lunch/Dinner,Chinatown,New York City,1,40.7150085,-73.9970518,
