Name,Cuisine,Category,Location,Price
Jaiya,Thai,Lunch/Dinner,Kips Bay,2
Barn Joo,Korean,Lunch/Dinner,Chelsea,2
Buenos Aires,South American,Lunch/Dinner,East Village,3
Great NY Noodletown,Chinese,Lunch/Dinner,Chinatown,1
Klong,Thai,Lunch/Dinner|Drinks,East Village,2
Xe May Sandwich Shop,Vietnamese,Quick Bites,East Village,1
Veselka,Eastern European,Lunch/Dinner|Brunch,East Village,2
Mr. Purple,Bar,Drinks|Rooftop|Bar,LES,3
The Top of the Standard,Bar,Drinks|Rooftop|Bar,Chelsea,4
Laduree,French,Desserts|Brunch,Soho|Upper East Side,3
KENKA,Japanese,Lunch/Dinner,East Village,1
The Granddaddy,Coffee,Cafe,LES,1
Milk & Cream Cereal Bar,Ice Cream,Desserts,Little Italy,1
Keki Modern Cakes,Japanese|Bakery,Desserts,Chinatown|Koreatown,1
Sweet Moment,Korean,Desserts,Little Italy,2
Clay Pot,Chinese,Lunch/Dinner,Greenwich Village,1
Simo Pizza,Pizza,Quick Bites,Chelsea,1
Boucherie,French,Lunch/Dinner|Desserts,Greenwich Village|Midtown|Gramercy,3
Little Cupcake Bakeshop,Bakery,Desserts,Nolita,1
Spot Dessert Bar,Asian,Desserts,East Village,2
Lazy Llama Coffee Bar,Coffee,Cafe,East Village,1
787 Coffee,Coffee,Cafe,East Village|Gramercy,1
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,1
Tonii's Fresh Rice Noodle,Chinese,Quick Bites,Chinatown,1
Sobaya,Japanese,Lunch/Dinner,East Village,2
Solas Bar,Bar,Drinks|Bar,East Village,2
Udon West,Japanese,Lunch/Dinner,East Village,1
JOJU,Vietnamese,Quick Bites,Midtown,2
The Spaniard,Bar|American,Drinks|Lunch/Dinner,South Village,2
Top Thai,Thai,Lunch/Dinner,Greenwich Village,2
Murray's Mac and Cheese,American,Quick Bites,South Village,1
Elsie Rooftop,Bar,Drinks|Rooftop|Bar,Midtown,3
Cafe China,Chinese,Drinks|Lunch/Dinner,Midtown,2
