name,cuisine,category,location,price,lat,lng,rating
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7564253,-122.4214111,3.8
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7763909,-122.4241939,3.8
Ritual Coffee Roasters,Coffee,Cafe,Hayes Valley|Haight-Ashbury|Mission,2,37.7705531,-122.4438393,3.8
Chez Maman,French,Lunch/Dinner|Date Night,Potrero Hill|Hayes Valley,2,37.7624483,-122.3967107,4.2
Chez Maman,French,Lunch/Dinner|Date Night,Potrero Hill|Hayes Valley,2,37.7770405,-122.4231768,4.2
Nojo Ramen Tavern,Japanese|Ramen,Lunch/Dinner|Drinks,Hayes Valley,2,37.7767268,-122.4214764,4.3
Pagan Idol,Bar,Bar|Drinks,Fidi,2,37.7907439,-122.4036859,4.0
Udon Mugizo,Japanese|Udon,Lunch/Dinner,Japantown,2,37.7849587,-122.4321287,4.0
Kevin's Noodle House,Vietnamese,Lunch/Dinner|Noodles,Outer Sunset,1,37.7633596,-122.4777946,4.0
Papito,Mexican,Lunch/Dinner|Drinks,Hayes Valley|Potrero Hill,2,37.7767098,-122.4234085,4.0
Papito,Mexican,Lunch/Dinner|Drinks,Hayes Valley|Potrero Hill,2,37.7624549,-122.3971221,4.0
Novela,Bar,Bar|Drinks,Yerba Buena,2,37.787097,-122.40136,4.2
Stable Cafe,American,Cafe|Brunch,Mission,2,37.763225,-122.4153583,4.4
Abanico Coffee Roasters,Coffee,Cafe,Mission,2,37.7629894,-122.4192999,4.0
Mr. Tipple's Recording Studio,Bar,Bar|Drinks,Civic Center,2,37.7763698,-122.4185846,4.0
Urban Ritual Cafe,Tea,Tea,Hayes Valley,2,37.7757014,-122.4258572,4.1
Dumpling Time,Chinese|Dim Sum,Lunch/Dinner|To Share,Design District|Mission Bay,2,37.7696917,-122.4023889,3.8
Dumpling Time,Chinese|Dim Sum,Lunch/Dinner|To Share,Design District|Mission Bay,2,37.7675886,-122.3887964,3.8
Farmhouse Kitchen Thai Cuisine,Thai,Lunch/Dinner,Mission,2,37.7601894,-122.4114198,4.0
Ozumo,Japanese,Lunch/Dinner|Drinks,Embarcadero,3,37.7926439,-122.3922179,4.3
Marafuku Ramen,Japanese|Ramen,Lunch/Dinner,Japantown,2,37.7851757,-122.4320003,3.8
Daeho,Korean,Lunch/Dinner|Drinks,Japantown,2,37.78588269999999,-122.4285535,4.4
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Polk Gulch,2,37.7710697,-122.4320952,4.3
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Polk Gulch,2,37.7948652,-122.4213815,4.3
Cafe Reveille,American,Cafe|Brunch,Lower Haight|Mission Bay|Polk Gulch,2,37.7735205,-122.3916911,4.3
Akira,Japanese,Lunch/Dinner,Lower Pacific Heights,2,37.7883278,-122.4241861,3.7
Blackwood,American|Thai,Brunch|Lunch/Dinner|Drinks,Marina/Cow Hollow,2,37.8007101,-122.4388058,3.6
Taqueria Cancun,Mexican,Lunch/Dinner|Quick Bites,Mission|Soma|Bernal Heights,1,37.7604861,-122.4194111,3.9
